Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , 
         -7.5,    -0.5854665, ,            -8,     -0.651006, ,            -8,     -0.662879, ,            -8,    -0.6680111, , 
           -7,    -0.5261819, ,          -7.5,    -0.5972515, ,          -7.5,     -0.606959, ,          -7.5,    -0.6117021, , 
         -6.5,    -0.4661843, ,            -7,     -0.542094, ,            -7,     -0.551048, ,            -7,    -0.5551065, , 
           -6,    -0.4129267, ,          -6.5,     -0.486693, ,          -6.5,     -0.495175, ,          -6.5,    -0.4985322, , 
         -5.5,    -0.3592242, ,            -6,    -0.4315012, ,            -6,    -0.4385043, ,            -6,    -0.4420466, , 
           -5,    -0.3052422, ,          -5.5,    -0.3757384, ,          -5.5,    -0.3822568, ,          -5.5,    -0.3850196, , 
         -4.5,    -0.2510507, ,            -5,    -0.3195955, ,            -5,    -0.3254271, ,            -5,    -0.3283355, , 
           -4,    -0.1967912, ,          -4.5,    -0.2636034, ,          -4.5,    -0.2688187, ,          -4.5,    -0.2712168, , 
         -3.5,    -0.1421488, ,            -4,      -0.20746, ,            -4,    -0.2120414, ,            -4,    -0.2141332, , 
           -3,   -0.08737998, ,          -3.5,    -0.1514024, ,          -3.5,    -0.1552504, ,          -3.5,    -0.1570629, , 
         -2.5,   -0.03259393, ,            -3,   -0.09523572, ,            -3,    -0.0982499, ,            -3,   -0.09984832, , 
           -2,    0.02216947, ,          -2.5,   -0.03901168, ,          -2.5,   -0.04124584, ,          -2.5,   -0.04258066, , 
         -1.5,    0.07669382, ,            -2,    0.01735543, ,            -2,    0.01560825, ,            -2,    0.01455162, , 
           -1,     0.1305041, ,          -1.5,    0.07379054, ,          -1.5,    0.07254166, ,          -1.5,    0.07206491, , 
         -0.5,     0.1837649, ,            -1,     0.1300986, ,            -1,     0.1296356, ,            -1,     0.1294823, , 
            0,     0.2372995, ,          -0.5,     0.1863378, ,          -0.5,     0.1865818, ,          -0.5,     0.1869334, , 
          0.5,     0.2902325, ,             0,     0.2425289, ,             0,      0.243668, ,             0,     0.2442013, , 
            1,     0.3418121, ,           0.5,     0.2982783, ,           0.5,      0.300871, ,           0.5,     0.3014664, , 
          1.5,       0.39296, ,             1,     0.3540586, ,             1,      0.357848, ,             1,     0.3585018, , 
            2,     0.4506307, ,           1.5,     0.4098652, ,           1.5,     0.4140834, ,             2,     0.4712368, , 
          2.5,     0.5189489, ,             2,     0.4653043, ,             2,     0.4700411, ,           2.5,     0.5266612, , 
            3,     0.5921644, ,           2.5,     0.5200265, ,           2.5,     0.5253468, ,             3,     0.5823345, , 
          3.5,     0.6674424, ,             3,     0.5733683, ,             3,     0.5806108, ,           3.5,     0.6371421, , 
            4,     0.7151251, ,           3.5,     0.6246834, ,           3.5,     0.6349117, ,             4,     0.6915732, , 
          4.5,     0.7630776, ,             4,     0.6775252, ,             4,     0.6884695, ,           4.5,     0.7458633, , 
            5,     0.8096978, ,             5,     0.8056652, ,           4.5,     0.7402977, ,             5,     0.7992053, , 
          5.5,      0.855864, ,           5.5,     0.8646905, ,             5,     0.7907171, ,           5.5,     0.8521797, , 
            6,     0.9022166, ,             6,     0.9105888, ,           5.5,     0.8443968, ,             6,     0.9025411, , 
            7,     0.9941908, ,           6.5,      0.959001, ,             6,     0.9080981, ,           6.5,     0.9595325, , 
          7.5,      1.040759, ,             7,      1.008297, ,           6.5,     0.9677483, ,             7,      1.022836, , 
            8,      1.087511, ,           7.5,      1.058563, ,             7,      1.017477, ,           7.5,       1.07411, , 
          8.5,      1.133365, ,             8,       1.10903, ,           7.5,      1.068958, ,             8,      1.126933, , 
            9,      1.179492, ,           8.5,      1.159883, ,             8,      1.120513, ,           8.5,      1.178908, , 
          9.5,      1.223958, ,             9,      1.209326, ,           8.5,       1.17284, ,             9,      1.231247, , 
           10,      1.266992, ,           9.5,      1.259187, ,             9,      1.223736, ,           9.5,      1.283243, , 
         10.5,      1.306315, ,            10,      1.306419, ,           9.5,      1.274918, ,            10,      1.333501, , 
           11,      1.346968, ,          10.5,      1.354849, ,            10,      1.325621, ,          10.5,      1.384052, , 
         11.5,      1.379447, ,            11,      1.401463, ,          10.5,      1.374039, ,            11,       1.43444, , 
           12,       1.39593, ,          11.5,      1.444779, ,            11,      1.422446, ,          11.5,      1.483898, , 
, , ,            12,      1.485209, ,          11.5,      1.470906, ,            12,      1.531862, , 
, , , , , ,            12,       1.51822, , , , , 

